paper_id,paper,dataset_subset,task,split,label_definition,model,metric,published_value,our_compatible_value,comparison_category,direct_comparison_permitted,evidence_location,caveat
LIT-001,Damage Propagation Modeling for Aircraft Engine Run-to-Failure Simulation,C-MAPSS simulator (not a benchmark subset result),dataset/provenance,NR,NR,Defines the run-to-failure simulation basis behind the benchmark,NR,NR,NR,C,False,NR,Does not provide cycle-level anomaly-onset labels
LIT-002,C-MAPSS Jet Engine Simulated Data,FD001; FD002; FD003; FD004,dataset/provenance,NR,NR,"FD002 has 260 train engines, 259 test engines, six operating conditions and one fault mode",NR,NR,NR,C,False,NR,Official test trajectories are truncated and cycle-level anomaly labels are absent
LIT-003,Performance Benchmarking and Analysis of Prognostic Methods for CMAPSS Datasets,C-MAPSS,benchmark/review,NR,NR,Shows that preprocessing and evaluation choices impair comparability,NR,NR,NR,C,False,NR,Primarily prognostics rather than anomaly detection
LIT-004,Review and Analysis of Algorithmic Approaches Developed for Prognostics on CMAPSS Data,C-MAPSS,benchmark/review,NR,NR,Discusses operating-condition normalization and clustering/segmentation,NR,NR,NR,C,False,NR,Review rather than new anomaly detector
LIT-005,LSTM-based Encoder-Decoder for Multi-sensor Anomaly Detection,Multivariate industrial sequences,multivariate sequence anomaly detection,NR,NR,Healthy-sequence reconstruction error is used as anomaly score,NR,NR,NR,D,False,NR,Not a C-MAPSS benchmark study
LIT-006,Multi-Sensor Prognostics using an Unsupervised Health Index based on LSTM Encoder-Decoder,C-MAPSS,health-index construction/prognostics,NR,NR,Maps reconstruction error to a health index and RUL,NR,NR,NR,C,False,NR,Health index/RUL task rather than alert evaluation
LIT-007,Autoencoder-based Semi-Supervised Anomaly Detection in Turbofan Engines,"FD004 (identified by 249 engines, six conditions, two fault modes)",anomaly/degradation detection,220 train engines; 20 validation engines; 19 test engines,first 60% normal; last 5% anomalous; remaining label treatment incompletely stated,feed-forward autoencoder; Bayesian hyperparameter tuning,F1,0.892,NR,C,False,"IJACSA 11(11), pp. 44-47: Sec. III-IV; Table VI on p. 47","Category C: FD004, final-5% labels, and a different threshold/split; no project numerical comparison is permitted."
LIT-007,Autoencoder-based Semi-Supervised Anomaly Detection in Turbofan Engines,"FD004 (identified by 249 engines, six conditions, two fault modes)",anomaly/degradation detection,220 train engines; 20 validation engines; 19 test engines,first 60% normal; last 5% anomalous; remaining label treatment incompletely stated,feed-forward autoencoder; Bayesian hyperparameter tuning,precision,0.896,NR,C,False,"IJACSA 11(11), pp. 44-47: Sec. III-IV; Table VI on p. 47","Category C: FD004, final-5% labels, and a different threshold/split; no project numerical comparison is permitted."
LIT-007,Autoencoder-based Semi-Supervised Anomaly Detection in Turbofan Engines,"FD004 (identified by 249 engines, six conditions, two fault modes)",anomaly/degradation detection,220 train engines; 20 validation engines; 19 test engines,first 60% normal; last 5% anomalous; remaining label treatment incompletely stated,feed-forward autoencoder; Bayesian hyperparameter tuning,recall,0.724,NR,C,False,"IJACSA 11(11), pp. 44-47: Sec. III-IV; Table VI on p. 47","Category C: FD004, final-5% labels, and a different threshold/split; no project numerical comparison is permitted."
LIT-008,A One-Class Support Vector Machine Calibration Method for Time Series Change Point Detection,C-MAPSS,change-point/onset estimation,NR,NR,Uses calibrated one-class SVM for health-status change-point detection,NR,NR,NR,C,False,NR,Estimated change point is not physical ground truth
LIT-009,A Change Point Detection Integrated Remaining Useful Life Estimation Model under Variable Operating Conditions,Six-condition C-MAPSS,change-point/onset estimation,NR,NR,Learns device-specific change points under variable conditions,NR,NR,NR,C,False,NR,Optimizes downstream RUL; onset remains model-estimated
LIT-010,Anomaly Detection and Remaining Useful Life Prediction for Turbofan Engines with a Key Point-Based Approach to Secure Health Management,FD002,anomaly/degradation detection,NR,"model-derived key points, not registered final-life endpoint proxies",key-point-based health-management method,NR,NR,NR,B,False,NR,Joint-task protocol is not directly comparable to unsupervised detector
LIT-011,Aero-engines Anomaly Detection using an Unsupervised Fisher Autoencoder,FD001; FD003,anomaly/degradation detection,NR,NR,Fisher-divergence autoencoder for imbalanced aero-engine anomaly detection,NR,NR,NR,C,False,NR,Preprint/short-conference reporting and protocol differences
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD001,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),accuracy,96.49%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD001,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),precision,95.95%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD001,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),recall,95.18%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD001,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),F1,95.56%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD001,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),CDR,100.0%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD003,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),accuracy,94.84%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD003,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),precision,93.81%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD003,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),recall,93.16%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD003,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),F1,93.49%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
LIT-012,Anomaly Detection in Complex Dynamical Systems using TDC-AE,FD003,anomaly/degradation detection,random engine-disjoint 80/20; internal 90/10 train/validation; thresholds optimized using anomalous training portion,first 60% normal; final 40% anomalous,temporal differential consistency autoencoder (TDC-AE),CDR,100.0%,NR,C,False,"Authoritative arXiv HTML v3, Sec. III-C and IV-B, Table II","Category C: FD001/FD003, 60/40 labels, and threshold optimization differ; no project numerical comparison is permitted."
