component,verified_setting,fit_or_derivation_boundary,source_selector
Engine split,156 train / 52 validation / 52 internal held-out; whole-engine separation; seed 42,Split manifest only,configs/splits/fd002-primary-v1.json: split
Healthy-training eligibility,"Window end cycle ≤ floor(0.30 × engine maximum cycle); 5,037 eligible windows",Training engines only; ineligible windows remain unlabeled,baseline config: training_policy
P1/K=6 preprocessing,Scaled 3-setting K-Means (K=6); per-mode sensor scaling with global healthy fallback,Operating scaler/K-Means: all training rows; sensor scalers: early-life training rows,preprocessing.RegimeSensorPreprocessor.fit
Window and endpoint mode,"30 cycles × 21 sensors, stride 1; mode from exact (engine, end_cycle) join",Transform/derivation only,confirmatory protocol: preprocessing; metadata.assign_endpoint_operating_modes
PCA representation,"63 ordered features: 21 means, 21 population SDs (ddof=0), 21 endpoint-minus-start differences",Summary reduction fits no state,windows.summary_features; inference protocol: pca_score_and_attribution
PCA model and raw score,n_components=0.90; mean squared reconstruction residual across standardized 63-feature space,Feature scaler and PCA fitted on eligible training features,selected_models.csv p1_k6/pca; classical._raw_scores_scaled
Calibration,Right-sided empirical CDF: count(training score ≤ score) / n,Eligible training scores only; frozen transform on validation/held-out,calibration.EmpiricalCDFCalibrator
Per-mode threshold,"q=0.995, NumPy method='higher'; mode 0: 0.9974190986698431; mode 1: 0.9908675799086758; mode 2: 0.9948381973396864; mode 3: 0.9922572960095295; mode 4: 0.996624975183641; mode 5: 0.9932499503672821","Six training-reference thresholds, frozen before held-out access",confirmatory protocol: primary.thresholds
Runtime state,Calibrated score → EWMA α=0.20 → strict current-mode threshold comparison → persistence 8,No online recalibration; alert begins on eighth consecutive violation without backdating,persistence.apply_alert_policy; confirmatory protocol: primary
State reset and events,"Reset at engine boundary or endpoint gap, not mode change; contiguous active endpoints form events",Deterministic state machine,alert protocol: state_contract; alerts.extract_alert_events
PCA sensor contribution,Per sensor: mean/std/slope squared residuals summed and divided by 63; contributions sum to raw PCA MSE,Local normalized-feature-space model fidelity only,pca_attribution.attribute_pca_reconstruction
Comparator and fusion boundary,Three-seed calibrated LSTM score mean is an unfused comparator; PCA–LSTM fusion not evaluated,Comparator policy frozen separately; primary remains PCA,confirmatory protocol: comparator; alert result: fusion_evaluated=false
