paper_id,title,dataset_subset,task,split,engine_disjoint,learning_status,label_definition,model,metric,published_value,our_compatible_value,comparison_category,direct_comparison_permitted,evidence_location,caveat
LIT-010,Anomaly Detection and Remaining Useful Life Prediction for Turbofan Engines with a Key Point-Based Approach to Secure Health Management,NASA C-MAPSS / FD002,key-point anomaly/degradation analysis and RUL planning,FD002 lifecycle analysis; the paper's 'test set' identity is not explicit enough to equate with NASA official test,NR,analytical/statistical; not healthy-only learning,"two key points obtained by self-convolution, halving, and derivatives; not mapped to this project's normalized-life proxies",non-neural key-point method,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,B,False,Full methodology/result/limitation sections; source SHA-256 bf0d6aa9698b435f58ced8186844acbcc4ad38e767c430a2353b64f7219a3b44,"FD002 aligns, but task, labels, split identity, threshold/event semantics, and metrics do not."
LIT-013,Early Fault Detection on CMAPSS with Unsupervised LSTM Autoencoders,"NASA C-MAPSS / FD001, FD002, FD003, FD004",early fault detection,"within-trajectory 85% baseline, 5% exclusion, 10% degraded test; random healthy windows form validation",False,unsupervised healthy-only reconstruction,final 10% of each trajectory is anomalous; middle 5% is excluded,LSTM autoencoder with four-dimensional latent representation,anomaly_fraction; f1; precision; recall; specificity,precision=0.196 (FD001); recall=0.981 (FD001); specificity=0.966 (FD001); f1=0.327 (FD001); anomaly_fraction=0.008 (FD001); precision=0.374 (FD002); recall=0.799 (FD002); specificity=0.982 (FD002); f1=0.51 (FD002); anomaly_fraction=0.013 (FD002); precision=0.241 (FD003); recall=1.0 (FD003); specificity=0.963 (FD003); f1=0.388 (FD003); anomaly_fraction=0.012 (FD003); precision=0.336 (FD004); recall=0.725 (FD004); specificity=0.985 (FD004); f1=0.456 (FD004); anomaly_fraction=0.011 (FD004),NR; no Category A metric alignment,B,False,LIT-013-V01 p.9 Table 3; LIT-013-V02 p.9 Table 3; LIT-013-V03 p.9 Table 3; LIT-013-V04 p.9 Table 3; LIT-013-V05 p.9 Table 3; LIT-013-V06 p.9 Table 3; LIT-013-V07 p.9 Table 3; LIT-013-V08 p.9 Table 3; LIT-013-V09 p.9 Table 3; LIT-013-V10 p.9 Table 3; LIT-013-V11 p.9 Table 3; LIT-013-V12 p.9 Table 3; LIT-013-V13 p.9 Table 3; LIT-013-V14 p.9 Table 3; LIT-013-V15 p.9 Table 3; LIT-013-V16 p.9 Table 3; LIT-013-V17 p.9 Table 3; LIT-013-V18 p.9 Table 3; LIT-013-V19 p.9 Table 3; LIT-013-V20 p.9 Table 3,"Same FD002 and anomaly intent, but non-engine-disjoint within-trajectory split, different proxy, threshold, persistence, and point metrics prohibit direct comparison."
LIT-007,Autoencoder based Semi-Supervised Anomaly Detection in Turbofan Engines,NASA C-MAPSS / FD004,anomaly detection,"220 engines train, 20 validation, 19 test from FD004 run-to-failure trajectories",True,semi-supervised healthy-only autoencoder,last 5% treated as anomalous; intervening cycles excluded,feed-forward autoencoder selected by Bayesian optimization,f1; precision; recall,f1=0.892 (FD004); precision=0.896 (FD004); recall=0.724 (FD004),NR; no Category A metric alignment,C,False,LIT-007-V01 p.47 Table VI; LIT-007-V02 p.47 Table VI; LIT-007-V03 p.47 Table VI,"Engine-disjoint anomaly evaluation is useful context, but FD004 has two faults and labels/metrics/alert semantics differ."
LIT-008,A One-Class Support Vector Machine Calibration Method for Time Series Change Point Detection,NASA C-MAPSS / FD004,change-point detection,20 randomly selected engines train; remaining 229 test,True,one-class unsupervised with heuristic calibration,transition region benchmarked against WTTE-RNN uncertainty behavior,RBF OC-SVM with differential-evolution calibration,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 df0f01f87243a490395efc5e71f57563cda3db4dac1f886324f4c514e5b721de,Change-point objective and model-derived reference are not equivalent to this project's proxy endpoint alerts.
LIT-009,A Change Point Detection Integrated Remaining Useful Life Estimation Model under Variable Operating Conditions,NASA C-MAPSS / FD001-FD004; emphasis FD002/FD004,change-point detection integrated with RUL estimation,training engines support change-point model and RUL training; official test engines evaluate RUL,True,unsupervised change point plus supervised LSTM RUL,earlier of persistent T2 and Q control-limit breaches,CVA monitoring statistics plus LSTM RUL regressor,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 4da3c61605c235ed643363cf79cc7e2e63b61e5665ba702f84e195cb1a62ffbf,"Uses FD002 official test, but evaluates last-cycle RUL regression rather than anomaly alerts over all observed cycles."
LIT-012,Anomaly Detection in Complex Dynamical Systems: A Systematic Framework Using Embedding Theory and Physics-Inspired Consistency,NASA C-MAPSS / FD001 and FD003,anomaly detection,80/20 engine-disjoint outer split; 90/10 training-engine development split,True,unsupervised autoencoder representation with proxy labels for evaluation,final 40% of trajectory,Temporal Differential Consistency Autoencoder,accuracy; correct_detection_rate; f1; precision; recall,accuracy=0.9649 (FD001); precision=0.9595 (FD001); recall=0.9518 (FD001); f1=0.9556 (FD001); correct_detection_rate=1.0 (FD001); accuracy=0.9484 (FD003); precision=0.9381 (FD003); recall=0.9316 (FD003); f1=0.9349 (FD003); correct_detection_rate=1.0 (FD003),NR; no Category A metric alignment,C,False,LIT-012-V01 p.7 Table II; LIT-012-V02 p.7 Table II; LIT-012-V03 p.7 Table II; LIT-012-V04 p.7 Table II; LIT-012-V05 p.7 Table II; LIT-012-V06 p.7 Table II; LIT-012-V07 p.7 Table II; LIT-012-V08 p.7 Table II; LIT-012-V09 p.7 Table II; LIT-012-V10 p.7 Table II,"Engine split is useful, but subset, 60/40 onset, threshold supervision, and point metrics differ."
LIT-014,RAVEN: Unsupervised Anomaly Detection in Multivariate Jet Engine Time Series using Residual Learning on Real Test Data,real jet-engine test-cell time series / not C-MAPSS,unsupervised anomaly detection,real test programs split into nominal training and evaluation sequences,NR,unsupervised healthy-only,test-defined anomalous periods; exact physical onset provenance is experiment-specific,residual model plus deep LSTM autoencoder,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,D,False,Full methodology/result/limitation sections; source SHA-256 a48be532271c17727ef1157bd84451c2cc086150c7201a9ea178317993ea2330,"Real-engine relevance is high but dataset, faults, units, labels, and metrics are not protocol-equivalent."
LIT-017,Gas Turbine Anomaly Detection under Time-Varying Operation Conditions Based on Spectra Alignment and Self-Adaptive Normalization,real gas-turbine vibration spectra / not C-MAPSS,anomaly detection,normal training/validation and FOD evaluation sequences,NR,unsupervised reconstruction,experiment fault interval,degressive-beta variational autoencoder,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,D,False,Full methodology/result/limitation sections; source SHA-256 74dce23628e85d7405ed60ed77ef8621877e49a6dd20b576995d02adcccba2f9,Methodological analogue only; no C-MAPSS or matching alert protocol.
LIT-018,Multiform Informed Machine Learning Based on Piecewise and Weibull for Engine Remaining Useful Life Prediction,NASA C-MAPSS / FD001-FD004; FD002/FD004 emphasized,remaining useful life prediction,canonical train/test split; experiments repeated 15 times,True,supervised RUL with informed loss,piecewise RUL knee is imposed/selected rather than observed fault onset,neural RUL regressor with Piecewise and Weibull knowledge,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 dee9760c4e0b28f5a53ddfcf7271ac76a1a872b4436887f00773c736df224fc5,"FD002 aligns, but supervised last-cycle RUL RMSE/score is a different target and evaluation unit."
LIT-021,A Self-Organizing Map and a Normalizing Multi-Layer Perceptron Approach to Baselining in Prognostics under Dynamic Regimes,C-MAPSS turbofan simulator and dynamic-regime case studies / C-MAPSS/PHM prognostics; exact FD00x mapping varies by experiment,baselining for prognostics,training/hold-out structure reported by case study,NR,unsupervised regime discovery plus supervised normalization,not defined,SOM plus MLP,NR; no numerical result extracted for comparison,NR,NR; no Category A metric alignment,C,False,Full methodology/result/limitation sections; source SHA-256 22443b875a18c5cfe765a18c5287d7718c68565503ce58fb1ba27e99ce9bd1e2,"Relevant preprocessing, but not an FD002 anomaly detector evaluation."
